Normalizing dataset: Input mean (2,), Input std (2,)
Target mean (1,), Target std (1,)
Waiting for JIT...
Using 1 devices for parallel training.
Epoch 162/8000, Num Batches: 0
Epoch 163/8000, Num Batches: 0
Epoch 164/8000, Num Batches: 0
Epoch 165/8000, Num Batches: 0
Epoch 166/8000, Num Batches: 0
Epoch 167/8000, Num Batches: 0
Epoch 168/8000, Num Batches: 0
Epoch 169/8000, Num Batches: 0
Epoch 170/8000, Num Batches: 0
Epoch 171/8000, Num Batches: 0
Epoch 172/8000, Num Batches: 0
Epoch 173/8000, Num Batches: 0
Epoch 174/8000, Num Batches: 0
Epoch 175/8000, Num Batches: 0
Epoch 176/8000, Num Batches: 0
Epoch 177/8000, Num Batches: 0
Epoch 178/8000, Num Batches: 0
Epoch 179/8000, Num Batches: 0
Epoch 180/8000, Num Batches: 0
Epoch 181/8000, Num Batches: 0
Epoch 182/8000, Num Batches: 0
Epoch 183/8000, Num Batches: 0
Epoch 184/8000, Num Batches: 0
Epoch 185/8000, Num Batches: 0
Epoch 186/8000, Num Batches: 0
Epoch 187/8000, Num Batches: 0
Epoch 188/8000, Num Batches: 0
Epoch 189/8000, Num Batches: 0
Epoch 190/8000, Num Batches: 0
Epoch 191/8000, Num Batches: 0
Epoch 192/8000, Num Batches: 0
Epoch 193/8000, Num Batches: 0
Epoch 194/8000, Num Batches: 0
Epoch 195/8000, Num Batches: 0
Epoch 196/8000, Num Batches: 0
Epoch 197/8000, Num Batches: 0
Epoch 198/8000, Num Batches: 0
Epoch 199/8000, Num Batches: 0
Epoch 200/8000, Num Batches: 0
Epoch 201/8000, Num Batches: 0
Epoch 202/8000, Num Batches: 0
Epoch 203/8000, Num Batches: 0
Epoch 204/8000, Num Batches: 0
Epoch 205/8000, Num Batches: 0
Epoch 206/8000, Num Batches: 0
Epoch 207/8000, Num Batches: 0
Epoch 208/8000, Num Batches: 0
Epoch 209/8000, Num Batches: 0
Epoch 210/8000, Num Batches: 0
Epoch 211/8000, Num Batches: 0
Epoch 212/8000, Num Batches: 0
Epoch 213/8000, Num Batches: 0
Epoch 214/8000, Num Batches: 0
Epoch 215/8000, Num Batches: 0
Epoch 216/8000, Num Batches: 0
Epoch 217/8000, Num Batches: 0
Epoch 218/8000, Num Batches: 0
Epoch 219/8000, Num Batches: 0
Epoch 220/8000, Num Batches: 0
Epoch 221/8000, Num Batches: 0
Epoch 222/8000, Num Batches: 0
Epoch 223/8000, Num Batches: 0
Epoch 224/8000, Num Batches: 0
Epoch 225/8000, Num Batches: 0
Epoch 226/8000, Num Batches: 0
Epoch 227/8000, Num Batches: 0
Epoch 228/8000, Num Batches: 0
Epoch 229/8000, Num Batches: 0
Epoch 230/8000, Num Batches: 0
Epoch 231/8000, Num Batches: 0
Epoch 232/8000, Num Batches: 0
Epoch 233/8000, Num Batches: 0
Epoch 234/8000, Num Batches: 0
Epoch 235/8000, Num Batches: 0
Epoch 236/8000, Num Batches: 0
