e1,e2,g12,f_nu12,f_nu23,ar,fiber_massfrac,fiber_density,matrix_modulus,matrix_poisson,matrix_density,a11,a22,a12,a13,a23,E1,E2,E3,G12,G13,G23,nu12,nu13,nu23
220169.32824626565,5380.119251087308,5493.265957571566,0.29741301159374417,0.05679822571575642,444.5590242743492,0.3063295550178736,1551.3436393346637,5583.00010766834,0.306756446659565,1084.5818887464702,0.40392711317514196,0.42108161611169737,0.15112658243774996,-0.05224744951541314,-0.04087662445441608,14453.164520371734,12684.56035313816,7992.966189753018,5898.661003952103,4139.92962119644,4359.197907585005,0.2400381563543338,0.310887568833196,0.3212364909432239
285346.3364765048,16308.445885777473,16454.111479222775,0.423069905070588,0.28961063399910925,245.60199677944183,0.15272244568914176,1293.2664437685162,3157.7670192345977,0.4106418967247009,1446.3974093087018,0.1882611671006538,0.45551899264714496,0.1861207420740545,0.19004086821147814,0.3357569602360628,6044.4874274661515,11728.41678101873,8641.548565502939,2779.6308650211254,2834.22611455942,3965.8933174697604,0.2337342843326886,0.3481080754352031,0.3073900754137199
256105.95606267452,7715.9638945013285,7130.697328597307,0.21503125345334412,0.46856464885175225,134.18585993349552,0.28427900061942635,1460.7005760073662,1471.3592398911715,0.36238991728052494,1255.39845880121,0.30041506745146657,0.38950443327874085,-0.0398412266876104,0.023139718511845174,-0.028134165978606514,10571.495020825845,14125.490860807413,10944.271768156546,4794.553387351968,4214.430209035739,4893.804443574434,0.2273082859377973,0.27258599911199444,0.2984151199254174
240037.73657605052,14005.627147853374,15113.552984781563,0.33357557682320477,0.2615889897942543,331.70701153576374,0.1879190429113805,1788.0675260908902,4066.270062699914,0.280301342215389,1150.4207998514175,0.31536357574213686,0.23915385418766003,-0.1979264669203148,-0.0678656196510569,-0.1136544744585146,6467.468632777131,5193.7259790173475,8462.384700008462,3057.91694697572,3326.5693090715545,2988.8218064438997,0.3707282369680507,0.19633294528521536,0.21293237768775322
228703.45748960972,9951.800818555057,19031.446006149054,0.3788939544931054,0.18348558358848094,469.42642852663994,0.23450068770907817,1405.6216952390969,1827.6105299592018,0.3961603971198201,1333.9831051416695,0.28102744080730674,0.4072892947099395,-0.2566554752026686,-0.13568601906369418,0.1343951487976487,3481.409274474307,3644.8461874908876,3698.4984096456838,2331.654542063048,2159.7339207809596,2336.5577830739753,0.36150953906141203,0.3481200389917839,0.3446931039510132
262752.7351491153,11528.599706478417,3245.1297687366605,0.24737725015729667,0.3889590394496918,271.51608243584633,0.2084532309323549,1697.0023028552532,4408.483266830444,0.33653083253651855,1197.7517562918365,0.43137654477866677,0.3269397674101946,0.18677210583751783,-0.01969517121185686,0.019422046838317917,11216.924095074648,7316.359379572725,7146.430358036161,3992.972368631209,3532.9447094152974,3754.3174650848478,0.33699005058832765,0.3194131305313457,0.37330992098331867
295887.2535265982,2921.5907929465175,12643.977263011038,0.41439976640976967,0.3763061133772135,157.88186602294445,0.3248578101862222,1607.161051640287,5235.522602684796,0.2504859695024788,1006.7296735942364,0.1936203523766495,0.40375681972294397,0.04123278308355971,0.10936970328212488,-0.11865505197591511,9606.147934678194,20223.264843876397,18080.2401055886,5225.752508361204,5219.751539826704,7720.815318097591,0.1495196926032661,0.1540153698366955,0.2497775440867174
211190.91119617224,18562.85243202001,9335.725635290146,0.2899956172797829,0.1415617619454861,357.2311397641897,0.10093819620087743,1383.9959674980491,2797.4721314385533,0.3769124090857804,1399.7988952323794,0.3872410388012642,0.3505440217005256,0.003494842082693187,0.0362196184667639,0.010924775379191223,7500.187504687618,7028.394714647175,5892.057506481264,2768.7792452307776,2461.5384615384614,2366.751869733977,0.31924548113702844,0.3634740868521713,0.36218020804048356
202566.23681634665,6080.221629701555,10926.24132707715,0.2392473030369729,0.3188794745132327,316.198667883873,0.2545634453650564,1448.570226598531,1938.429539091885,0.29461204444989564,1425.8267283439636,0.34615266631139613,0.2979896811607364,0.015578731052347283,0.003379323082777735,-0.027685112464443464,11315.417256011317,9636.69654042594,11668.475280335118,4145.24954402255,4584.001833600733,4206.275763439051,0.27462517680339465,0.24951626591230552,0.22962320516526932
293480.63403740525,14152.358041144907,8796.754923649132,0.37149404506199063,0.08596016887575389,118.689726293087,0.2181075610220432,1671.1995720863342,4531.506997533143,0.34825405484065414,1042.5230478867888,0.09759756150664738,0.7150938611993668,-0.06823922579834323,0.08283213815771719,-0.034842013647263914,6720.430107526881,26191.723415400735,8061.265618702136,3203.690651630679,2854.6144843138936,4364.715638776133,0.0939516129032258,0.3707258064516129,0.40625982189628085
272879.77738305926,3749.004333280027,18491.88852403313,0.266971171181649,0.23565012332051993,205.03204949200153,0.33607750725932417,1632.9397200141102,4799.462504684925,0.4188301672041416,1225.6484334357083,0.2539690539555195,0.2458869262912673,0.0003151219554324022,-0.02855819621867179,0.01712941916463923,14099.003200473728,13805.099603793642,27690.0924849089,5241.914347119568,7338.910905621606,7212.925562608195,0.3318200403231492,0.18585306018864467,0.18450515620470204
232539.01787102222,16459.82224587351,1527.9667302966118,0.39064432894811035,0.4429477332904935,404.0256951004267,0.12250141138210893,1341.0216690506786,2373.6213743686676,0.2983912818133831,1367.7393118850887,0.3736089833327823,0.2699611872654838,0.04829970535357474,-0.010882835615365774,-0.15311490514233783,8068.420203324188,6068.697657482704,7716.049382716049,2724.6471581930136,3112.5498007968126,2676.086491115393,0.3109246409553009,0.27546393416169107,0.24194683820852042
248548.87602850795,1587.4347146600485,6624.227472580969,0.4469471609219909,0.41125228013843296,391.7458273470402,0.2921058211009949,1577.1055230405182,5706.25271089375,0.36255969272926447,1179.1110737249255,0.3401392970802091,0.301478238862332,0.24265399725271578,0.08699642647630333,-0.11400361956994216,9351.912466099318,6787.483879725786,9973.07270370001,3650.967506389193,4255.319148936171,3641.925850389686,0.3251940521836716,0.25557841578602825,0.21571981266544496
258432.41922557354,19011.02441176772,13428.243160247803,0.32055927608162166,0.20588656086474655,192.35993549227715,0.13321722242981196,1250.275360653177,3268.8149008899927,0.26466178612783553,1289.9480126798153,0.34314819114546874,0.27758318216596617,0.14654219878063118,-0.08543232851912562,-0.0305680865494116,7619.047619047619,6151.574803149607,8302.200083022,3149.8047121078494,3492.839678658749,3217.5032175032175,0.28233142857142857,0.21959619047619047,0.21005167322834647
275114.9145886302,8612.99474351108,3808.5429035127163,0.3410973316524178,0.10906354885548353,280.9703107923269,0.26728518926538525,1503.665892034769,1047.737373970449,0.3283825162425637,1473.096530418843,0.4392897269192303,0.4307108278015029,0.06917310387057951,-0.042856956669107445,0.03193788227371872,17581.490207109953,16050.333846944015,4494.180036852276,6734.913793103449,2949.2435190373667,2913.3284777858703,0.2552480748268223,0.42810928654312735,0.4012904468412942
