Normalizing dataset: Input mean (2,), Input std (2,)
Target mean (1,), Target std (1,)
Waiting for JIT...
Using 1 devices for parallel training.
Epoch 162/6000, Num Batches: 0
Epoch 163/6000, Num Batches: 0
Epoch 164/6000, Num Batches: 0
Epoch 165/6000, Num Batches: 0
Epoch 166/6000, Num Batches: 0
Epoch 167/6000, Num Batches: 0
Epoch 168/6000, Num Batches: 0
Epoch 169/6000, Num Batches: 0
Epoch 170/6000, Num Batches: 0
Epoch 171/6000, Num Batches: 0
Epoch 172/6000, Num Batches: 0
Epoch 173/6000, Num Batches: 0
Epoch 174/6000, Num Batches: 0
Epoch 175/6000, Num Batches: 0
Epoch 176/6000, Num Batches: 0
Epoch 177/6000, Num Batches: 0
Epoch 178/6000, Num Batches: 0
Epoch 179/6000, Num Batches: 0
Epoch 180/6000, Num Batches: 0
Epoch 181/6000, Num Batches: 0
Epoch 182/6000, Num Batches: 0
Epoch 183/6000, Num Batches: 0
Epoch 184/6000, Num Batches: 0
Epoch 185/6000, Num Batches: 0
Epoch 186/6000, Num Batches: 0
Epoch 187/6000, Num Batches: 0
Epoch 188/6000, Num Batches: 0
Epoch 189/6000, Num Batches: 0
Epoch 190/6000, Num Batches: 0
Epoch 191/6000, Num Batches: 0
Epoch 192/6000, Num Batches: 0
Epoch 193/6000, Num Batches: 0
Epoch 194/6000, Num Batches: 0
Epoch 195/6000, Num Batches: 0
Epoch 196/6000, Num Batches: 0
Epoch 197/6000, Num Batches: 0
Epoch 198/6000, Num Batches: 0
Epoch 199/6000, Num Batches: 0
Epoch 200/6000, Num Batches: 0
Epoch 201/6000, Num Batches: 0
Epoch 202/6000, Num Batches: 0
Epoch 203/6000, Num Batches: 0
Epoch 204/6000, Num Batches: 0
Epoch 205/6000, Num Batches: 0
Epoch 206/6000, Num Batches: 0
Epoch 207/6000, Num Batches: 0
Epoch 208/6000, Num Batches: 0
Epoch 209/6000, Num Batches: 0
Epoch 210/6000, Num Batches: 0
Epoch 211/6000, Num Batches: 0
Epoch 212/6000, Num Batches: 0
Epoch 213/6000, Num Batches: 0
Epoch 214/6000, Num Batches: 0
Epoch 215/6000, Num Batches: 0
Epoch 216/6000, Num Batches: 0
Epoch 217/6000, Num Batches: 0
Epoch 218/6000, Num Batches: 0
Epoch 219/6000, Num Batches: 0
Epoch 220/6000, Num Batches: 0
Epoch 221/6000, Num Batches: 0
Epoch 222/6000, Num Batches: 0
Epoch 223/6000, Num Batches: 0
Epoch 224/6000, Num Batches: 0
Epoch 225/6000, Num Batches: 0
Epoch 226/6000, Num Batches: 0
Epoch 227/6000, Num Batches: 0
Epoch 228/6000, Num Batches: 0
Epoch 229/6000, Num Batches: 0
Epoch 230/6000, Num Batches: 0
Epoch 231/6000, Num Batches: 0
Epoch 232/6000, Num Batches: 0
Epoch 233/6000, Num Batches: 0
Epoch 234/6000, Num Batches: 0
Epoch 235/6000, Num Batches: 0
Epoch 236/6000, Num Batches: 0
Epoch 237/6000, Num Batches: 0
Epoch 238/6000, Num Batches: 0
Epoch 239/6000, Num Batches: 0
Epoch 240/6000, Num Batches: 0
Epoch 241/6000, Num Batches: 0
Epoch 242/6000, Num Batches: 0
Epoch 243/6000, Num Batches: 0
Epoch 244/6000, Num Batches: 0
Epoch 245/6000, Num Batches: 0
Epoch 246/6000, Num Batches: 0
Epoch 247/6000, Num Batches: 0
Epoch 248/6000, Num Batches: 0
Epoch 249/6000, Num Batches: 0
Epoch 250/6000, Num Batches: 0
Epoch 251/6000, Num Batches: 0
Epoch 252/6000, Num Batches: 0
Epoch 253/6000, Num Batches: 0
Epoch 254/6000, Num Batches: 0
Epoch 255/6000, Num Batches: 0
Epoch 256/6000, Num Batches: 0
Epoch 257/6000, Num Batches: 0
Epoch 258/6000, Num Batches: 0
Epoch 259/6000, Num Batches: 0
Epoch 260/6000, Num Batches: 0
Epoch 261/6000, Num Batches: 0
Epoch 262/6000, Num Batches: 0
Epoch 263/6000, Num Batches: 0
Epoch 264/6000, Num Batches: 0
Epoch 265/6000, Num Batches: 0
Epoch 266/6000, Num Batches: 0
Epoch 267/6000, Num Batches: 0
Epoch 268/6000, Num Batches: 0
Epoch 269/6000, Num Batches: 0
Epoch 270/6000, Num Batches: 0
Epoch 271/6000, Num Batches: 0
Epoch 272/6000, Num Batches: 0
Epoch 273/6000, Num Batches: 0
Epoch 274/6000, Num Batches: 0
Epoch 275/6000, Num Batches: 0
Epoch 276/6000, Num Batches: 0
Epoch 277/6000, Num Batches: 0
Epoch 278/6000, Num Batches: 0
Epoch 279/6000, Num Batches: 0
Epoch 280/6000, Num Batches: 0
Epoch 281/6000, Num Batches: 0
Epoch 282/6000, Num Batches: 0
Epoch 283/6000, Num Batches: 0
Epoch 284/6000, Num Batches: 0
Epoch 285/6000, Num Batches: 0
Epoch 286/6000, Num Batches: 0
Epoch 287/6000, Num Batches: 0
Epoch 288/6000, Num Batches: 0
Epoch 289/6000, Num Batches: 0
Epoch 290/6000, Num Batches: 0
Epoch 291/6000, Num Batches: 0
Epoch 292/6000, Num Batches: 0
Epoch 293/6000, Num Batches: 0
Epoch 294/6000, Num Batches: 0
Epoch 295/6000, Num Batches: 0
Epoch 296/6000, Num Batches: 0
Epoch 297/6000, Num Batches: 0
Epoch 298/6000, Num Batches: 0
Epoch 299/6000, Num Batches: 0
Epoch 300/6000, Num Batches: 0
Epoch 301/6000, Num Batches: 0
Epoch 302/6000, Num Batches: 0
Epoch 303/6000, Num Batches: 0
Epoch 304/6000, Num Batches: 0
Epoch 305/6000, Num Batches: 0
Epoch 306/6000, Num Batches: 0
Epoch 307/6000, Num Batches: 0
Epoch 308/6000, Num Batches: 0
Epoch 309/6000, Num Batches: 0
Epoch 310/6000, Num Batches: 0
Epoch 311/6000, Num Batches: 0
Epoch 312/6000, Num Batches: 0
Epoch 313/6000, Num Batches: 0
Epoch 314/6000, Num Batches: 0
Epoch 315/6000, Num Batches: 0
Epoch 316/6000, Num Batches: 0
