e1,e2,g12,f_nu12,f_nu23,f_cte1,f_cte2,ar,fiber_massfrac,fiber_density,matrix_modulus,matrix_poisson,matrix_density,m_cte,a11,a22,a12,a13,a23,E1,E2,E3,G12,G13,G23,nu12,nu13,nu23,CTE11,CTE22,CTE33,CTE12,CTE13,CTE23
296774.8790513724,36305.271454155445,1504.9319863319397,0.24394369386136533,0.4151843996345997,-2.3879340970888736e-06,4.4579691141843795e-06,31.26997279189527,0.27956258310005067,1344.2522422410548,5941.858161240816,0.40705266151577235,1321.903682872653,2.137078233063221e-05,0.3449038955282726,0.4216996186492717,0.01625360544271594,-0.12417808177795507,0.024982789926697974,16452.23914974828,21755.210372884307,13721.56206262521,7051.688879486637,6031.726883406719,5846.585594013097,0.26960284294692505,0.43866605244973833,0.4068441891833094,9.9274e-06,4.6944e-06,1.7395e-05,8.3512e-06,-1.1874e-06,-9.5501e-07
84192.49900616705,20328.856345266104,27819.975078105927,0.39356340379454197,0.2236385125294328,2.5147605249658225e-06,1.2606411844491959e-05,63.828885240480304,0.1930028634611517,2219.182756077498,4353.843875229359,0.25995152099058033,1082.9304249957204,9.170176282525063e-05,0.43198659084989793,0.24396943238137692,-0.054957040538300465,-0.06088815747065872,-0.05426040697439087,6799.483239273814,5764.020981036371,6158.773172384061,2463.2968765395603,2579.912798947396,2380.328961462474,0.2735500101992248,0.26913714557693613,0.2505850481295752,5.5224e-05,7.3319e-05,6.491e-05,5.7207e-06,6.0964e-06,5.5911e-06
163498.08820523322,32919.68099027872,18701.11522451043,0.2889706842135638,0.141324108093977,5.706299343146381e-07,1.1889193773269654e-05,92.52960632648319,0.11407958054915071,2556.9174472708255,1981.784338131547,0.3395139195211232,1488.878795877099,6.235770212486386e-05,0.38245048876573545,0.22047300827681324,0.01469235311396737,-0.025576089906131073,0.0848225172191542,4283.389017390559,3281.1628441119533,4393.86616283668,1370.06946252175,1676.9800942462814,1383.4511572568929,0.350175618949713,0.2922085153773666,0.26153164681563146,3.2024e-05,5.5304e-05,3.0535e-05,2.6543e-06,-2.1601e-06,-2.2119e-06
217514.82780091465,1801.6431592404842,43629.15727868676,0.37365191550925375,0.2774954864755273,-3.7961246771737946e-07,1.9053261533379557e-05,1.241225398145616,0.3251339678186923,1681.1623150948435,8034.728204831481,0.3724896185845137,903.0627245083451,0.00010519451955333352,0.43403677675430663,0.3429499116282248,0.025183644718302412,0.2565042092697347,0.07252626844703544,9814.505839630974,9020.386072523903,8258.320257659592,3639.2750564087632,3240.755744239557,3292.2894580891552,0.30761605653155366,0.2976543331043282,0.34646400865957055,8.8718e-05,8.9461e-05,9.8826e-05,-1.2257e-05,-1.0082e-06,-7.5535e-07
199075.95096156,24260.359283536673,32695.246417075396,0.3375857584644109,0.32576216775923966,-1.3131026308983568e-06,8.196449190378189e-06,80.00143835321069,0.15782574531622232,2077.267479011789,2794.416011311114,0.34069816157221794,1408.136047795415,7.204193378798664e-05,0.33635707151874744,0.34688664849176526,0.0030714157065548225,0.014044464143739131,0.02205461942974869,6677.79632721202,6828.269033799931,6422.607578676943,2604.302307411844,2518.891687657431,2545.3064548971697,0.2930016694490818,0.30658430717863105,0.3079071355411403,3.641e-05,3.4811e-05,3.9468e-05,-2.1879e-06,-4.5395e-07,-4.3384e-07
119421.94234579802,11018.318124115467,7630.322773009539,0.2997682912275195,0.07932370007038117,2.2134616076946253e-06,1.6860515996813777e-05,13.55658457800746,0.3068702043034136,1560.011136578396,8910.014939494431,0.30731615209951996,981.4614364877343,3.2427000580355527e-05,0.6107915835587943,0.18373244189183519,-0.04033566136277294,-0.09433889255100737,0.019697069029208238,17211.407721037504,11089.671080355758,11211.390773025394,4972.650422675286,5098.919029165817,4365.287235900122,0.3066040171425621,0.3135918486773033,0.28503781577838405,1.4708e-05,2.8403e-05,2.7632e-05,3.071e-06,2.0976e-06,1.4668e-06
65796.7759296298,42858.48179087043,38880.78097999096,0.44514754256233574,0.16200924564152958,1.5583200841210783e-06,7.643878713250161e-06,43.78307144436985,0.22745303311385212,1897.729732003063,6781.851350329816,0.27314843391999605,1255.1916774362326,0.00011475679744966328,0.477760683546007,0.26203346786659387,0.11642772974924737,0.1679855710595928,0.09952850207388489,10549.74733355136,9345.794392523365,9238.728750923874,3906.860446944835,3937.6279729091193,3713.1929746388923,0.28482207851121966,0.2920486554347023,0.2765981308411215,6.7028e-05,8.4235e-05,8.5154e-05,-1.3306e-05,-9.9847e-06,-8.6929e-06
252746.65532633662,14507.391966879368,12450.172826647758,0.21738396822474898,0.46307319968938826,-7.657919344492259e-07,1.5292320489883423e-05,51.49234049860388,0.20388338891789315,2414.1627435572445,5201.494502834976,0.41986523669213055,1156.6739665344357,4.764945504255593e-05,0.37935881010144834,0.32714813346702803,0.023511774869536532,0.02043873296891165,0.0025130220991456424,10613.232578378724,9848.335631278314,9433.962264150943,3748.1259370314847,3614.1530232390037,3465.723989741457,0.3760905096474284,0.393984419774575,0.40099468189875914,3.0165e-05,3.5932e-05,4.0234e-05,-2.2756e-06,-2.9204e-06,-2.4786e-06
254533.43796543777,30122.58803099394,36214.10230919719,0.3246423881966621,0.24725011840462685,4.039748385548585e-08,9.452537536621094e-06,84.4065254619345,0.14472822439856828,1606.6926061175764,4613.397209905088,0.39215311616659165,1017.9798105731606,0.00010626566934399307,0.20963732340275587,0.44404397238462034,-0.04057763079865607,-0.16852442481559735,-0.002748605163413482,7002.310762551642,10899.657750746626,8158.603247124093,2954.7334830398295,3163.255622686869,3533.818644427168,0.25750297598207406,0.38808906939289967,0.3559065245351296,0.00011133,4.7786e-05,7.5132e-05,4.5253e-05,9.7243e-06,1.1842e-05
64407.64428116381,4510.131102055311,15111.873548477888,0.3459071384742856,0.38642953876405955,8.169198017567391e-07,1.7616595759987833e-05,24.052068612538278,0.2925596022047102,2461.3639761693776,7370.356875471771,0.2692213020659983,1369.5674646645784,3.9372698618099096e-05,0.33135877562435406,0.44882492324144185,0.07298584153837337,-0.22390764006068903,-0.012456181051828736,8788.890841975743,10381.413117953616,7984.669434685405,3871.1675441313105,3565.443719470888,3610.2386367738904,0.21152223589383018,0.27653366145192476,0.267227955069244,3.0015e-05,2.437e-05,3.4727e-05,9.6633e-06,-3.3796e-06,-3.0696e-06
137873.1703851372,39102.34048217535,30034.02792662382,0.20808316422626377,0.30368525013327596,2.954820297192782e-06,6.895610973238945e-06,46.35138297639787,0.24499133848585186,2123.583663115278,9498.38259909302,0.32470284482464196,1193.1602971628308,6.656779852695764e-05,0.17262856376015656,0.44849185104360495,0.23812164333405092,0.04551223239810532,0.035613388330087904,12007.684918347742,13538.211602247344,14272.664992007309,5493.90176903637,4906.049158612569,5935.422602089268,0.3151416906820365,0.2627281460134486,0.28989372503892236,6.0159e-05,4.4037e-05,4.5053e-05,-1.9862e-07,-1.3209e-05,-1.5924e-05
181144.44422535598,17620.428394526243,10297.315828502178,0.4212376107927412,0.1099911156669259,-2.1192498006857932e-06,1.4044044166803363e-05,60.34450274519622,0.22168873054906724,1269.735623942688,2206.1808528378606,0.38167221780866384,1216.6551377624273,2.7169020371511583e-05,0.11328610011315632,0.4237008728545776,-0.030150923180263575,-0.023131073206111692,0.013332687347187384,4959.3334655822255,10748.411922138504,11843.85067273072,2190.1487110974836,2236.235967619303,4353.504571179799,0.20450803412021423,0.18291509621106922,0.28212431613229144,3.24e-05,4.8013e-06,3.6037e-06,2.0614e-06,9.8931e-07,2.8073e-06
227142.72206649184,40066.90941378474,21362.81356960535,0.41850045770406724,0.061672300286591056,-1.0344024701043967e-06,5.205788150429726e-06,34.11605125758797,0.2573670017533004,2339.687203289941,8641.676867380738,0.35515923012048006,1121.7376174405217,5.559492275118828e-05,0.10473958128991025,0.7102520099444851,-0.15936530678522173,0.04896372765264566,-0.1010520906816136,11530.434582079399,20917.876417186126,12395.260052555903,4864.286409183773,4265.4837058522435,5537.405171936431,0.2054031616451624,0.36858187185075003,0.372777475630674,5.7117e-05,1.7988e-05,4.7549e-05,-3.3752e-06,8.8896e-06,1.0129e-05
