Temperature,K_polymer,K_fiber_long,K_fiber_trans,K11_pred,K22_pred,K33_pred,K11_data,K22_data,K33_data
25.000000,0.105874,14.863453,7.878762,1.711471,0.553720,0.328208,1.800000,0.650000,0.300000
50.000000,0.116591,14.863453,7.878762,1.790126,0.588698,0.350803,1.850000,0.670000,0.310000
75.000000,0.124815,14.863453,7.878762,1.854842,0.618150,0.369565,1.880000,0.690000,0.320000
100.000000,0.131748,14.863453,7.878762,1.910339,0.642729,0.385617,1.900000,0.700000,0.330000
125.000000,0.137856,14.863453,7.878762,1.947089,0.659626,0.397361,1.920000,0.710000,0.340000
150.000000,0.143378,14.863453,7.878762,1.974978,0.673012,0.406599,1.930000,0.720000,0.350000
175.000000,0.148456,14.863453,7.878762,1.999421,0.684964,0.414936,1.950000,0.730000,0.360000
195.000000,0.152262,14.863453,7.878762,2.017741,0.693921,0.421185,1.960000,0.740000,0.370000
