k_f1,k_f2,k_m,ar_f,w_f,rho_f,rho_m,a11,a22,a12,a13,a23,k11,k12,k13,k22,k23,k33
29.61298677621307,16.047870421726444,0.01157457938939333,88.71235498733964,0.3319784665493909,1218.348524832598,925.763557951672,0.35979369073367495,0.5745066840600583,-0.3441449147503629,0.039279142759617414,0.2980092894236146,1.3462,-1.1458,0.26148,2.2074,-1.0093,0.58447
8.832606832779664,7.670542927085981,0.8957451464600861,293.9657785352304,0.03773799398791183,2093.393694223526,1367.2987617799358,0.7016991115029603,0.04344675522471498,0.2760751770607971,-0.22366692197558938,-0.16557179717458162,1.0251,0.025934,-0.021938,0.95792,0.020511,0.97456
19.861682110069413,2.429742859742977,0.6105980629997327,491.6149588106409,0.2506886829332631,1582.6392607524103,1781.3386896361428,0.30557988292706945,0.6109714704831412,-0.14424706559047995,0.3928159222697802,0.10946473309279259,2.4287,-0.61574,1.2002,3.3778,-0.57092,1.7665
4.963865846500918,3.7993811600329357,0.2028529612083919,247.1625584567303,0.1205377639534371,1912.377905818933,1652.201141965932,0.17231836321122757,0.796328159309396,-0.29029961286751105,0.22356390178482982,-0.3846127254174913,0.33061,-0.11944,0.066018,0.56737,-0.11167,0.29907
14.95126849197559,17.72017363438923,0.6771178447405808,330.4242471732941,0.08933256041179462,1773.9732623681512,1040.9074357041886,0.4401986159942746,0.43284409264249596,-0.09027588612507803,0.17080653628757597,-0.022828966010146223,1.059,-0.063573,0.12029,1.0538,-0.063573,0.83843
23.492959038991852,6.0615755913037805,0.292729939464014,39.40155828467883,0.38351166626366856,1510.5382776977995,1503.536153427714,0.6225805206377693,0.1521316024942314,0.13308217770341046,-0.3926969008855922,0.3404251553366382,5.0294,0.67748,-2.374,1.9056,0.55754,2.587
12.208656806414854,0.24697343705603853,0.37034286901466545,434.8937266984268,0.3211462730070487,1688.2609512809313,1606.4194149131743,0.15042135139444657,0.7354635137897079,0.0273951269499898,0.12179121400482668,-0.10507124918186972,0.88597,0.10179,0.45251,3.0597,0.10179,0.7511
16.177643260272873,9.853310300873499,0.1555093522755429,350.66131452911486,0.18417258616210802,1284.6682738251452,1542.1770327176241,0.5498624689122363,0.11578376629828513,-0.3960015281422801,-0.09015414116910103,0.16986674506400068,1.7269,-0.72226,-0.055502,1.0277,-0.65018,1.2776
22.356786631250195,19.912384422854426,0.4368587954656221,274.2507345105696,0.13254180110874944,1444.2215192815413,992.5837371527039,0.38127552736268194,0.507359512326677,0.18122576150689795,0.34339220155807676,0.018482353390295025,1.2617,0.33031,0.50536,1.4216,0.30364,0.87857
1.0746439436702058,6.379420408322941,0.5329526074671187,107.45661607534542,0.23834651496216339,1869.2814585601059,1441.1503089723892,0.683146882468339,0.07608160608033634,-0.03900610544044669,-0.12148193768620863,-0.34462521112133626,0.67132,0.0040767,0.012696,0.73477,0.0040767,0.71756
