k_f1,k_f2,k_m,ar_f,w_f,rho_f,rho_m,a11,a22,a12,a13,a23,k11,k12,k13,k22,k23,k33
20.024395346826687,8.14410976240812,0.6801057549363002,462.0065379193507,0.21549406213608863,1869.985788727994,1637.088063681006,0.34652288358432054,0.4261562334820706,0.3721425632728562,-0.1260637892479105,0.001983439214198468,2.0907,0.81647,-0.134,2.3934,0.77364,1.8375
1.6451412218910642,15.625790659314953,0.4858176013791934,137.10324654715404,0.18420198953819214,1325.381218370866,1000.2262350481438,0.6915559572765771,0.24724026066359878,-0.1359132484520167,0.2549803095972519,-0.11204511494466318,0.64952,-0.0019488,0.0033639,0.64336,-0.0016824,0.64135
13.663503919534293,4.6213173531802365,0.8740405087824911,346.8884389921774,0.09045017368079086,1612.3234586525268,1429.1770737526049,0.8024481637950688,0.11999693931400673,-0.22046992392490578,0.19836083747529426,-0.3121281838135905,1.6432,-0.18312,0.16502,1.1222,-0.13248,1.0965
24.41074023470897,12.117359880184289,0.052862916366010905,48.0534381662019,0.3092497171846052,2017.1849115676314,1222.3124280057677,0.24553252727223374,0.7034355773572687,0.08406345712575691,-0.22096620788255986,0.2019012283906324,0.90982,0.22488,-0.51028,2.1817,0.21197,0.45576
27.201045153553597,0.5452593857102096,0.3297013621462509,69.4011546418745,0.37665493351507534,1657.22943254744,1514.4239014411469,0.8686725429536942,0.09882421414436018,-0.03904269382797404,0.08707615845038091,0.39290339182734724,8.3004,-0.3554,0.79264,1.2926,-0.3554,0.68892
8.99963933366267,13.029375936314556,0.5239823415117338,270.5302433832693,0.020505217318859778,1309.7144072420406,1251.3255983955546,0.20586281250265243,0.6776922700882612,0.2502734970590673,-0.30646773875987343,-0.2961097661045002,0.5793,0.021807,-0.021176,0.62487,0.020927,0.57241
17.173725950695573,19.20838595364876,0.9686547424718738,421.47168872752087,0.2954485414810058,1948.5894597439433,1029.2410851514567,0.5448477366853207,0.37150236805663184,-0.30483835519479957,0.36636278782416604,0.19222212729387922,2.5854,-0.70455,0.70479,2.2062,-0.56856,1.8113
15.007730507852044,3.227010378383659,0.1976748449944891,302.245915134954,0.15957342542772465,2067.4715826235365,1552.2575845055146,0.9224938660491425,0.0009520431298063538,0.012424897040712868,0.33525598385730476,0.06618454319680667,1.8408,0.025447,0.55527,0.25076,0.0095589,0.44028
4.309725807401724,10.737682941308897,0.8783073043082841,102.09180201621216,0.24090090173496645,1579.6109896237308,1310.060496654568,0.15203760255032034,0.6218791161866619,-0.29882252725011554,-0.05790304049499145,-0.16977712825273955,1.3175,-0.078606,-0.0046557,1.452,-0.080756,1.3345
29.35600965743782,17.06349377085138,0.5666770575101487,215.74968627991635,0.06586118535003507,1762.956231606899,1081.2744561709592,0.5988650421948806,0.32821088160446826,0.34383603932565077,0.017702465201196227,0.2658708573592603,1.1882,0.29208,0.053572,1.0,0.23063,0.79026
